City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Salinas,US,36.6777,-121.6555,62.06,37,0,11.5,clear sky
Talnakh,RU,69.4865,88.3972,-20.22,99,100,1.12,overcast clouds
Saint-Prosper,CA,46.2117,-70.4811,24.03,80,55,9.15,broken clouds
Teahupoo,PF,-17.8333,-149.2667,73.36,84,25,14.92,light rain
Richards Bay,ZA,-28.783,32.0377,73.42,77,97,7.2,overcast clouds
Fare,PF,-16.7,-151.0167,78.91,79,10,4.16,clear sky
Asosa,ET,10.0667,34.5333,68.58,47,59,5.1,broken clouds
Petrozavodsk,RU,61.7849,34.3469,26.06,79,100,6.71,overcast clouds
Venado Tuerto,AR,-33.7456,-61.9688,77.77,20,0,8.79,clear sky
Morondava,MG,-20.2833,44.2833,77.63,67,0,12.8,clear sky
Vikulovo,RU,56.8167,70.6107,-2.97,93,92,10.67,overcast clouds
Bahia Blanca,AR,-38.7196,-62.2724,84.29,24,30,1.01,scattered clouds
San Carlos De Bariloche,AR,-41.1456,-71.3082,70.99,37,81,12.88,broken clouds
Bereda,ES,43.2686,-7.5406,56.41,100,100,8.08,overcast clouds
Kokstad,ZA,-30.5472,29.4241,58.41,90,99,3.09,light rain
Wanning,CN,18.8003,110.3967,76.32,92,97,1.74,overcast clouds
Kargasok,RU,59.0556,80.8572,1.45,94,100,12.24,light snow
Kulhudhuffushi,MV,6.6221,73.07,81.75,66,31,8.46,scattered clouds
Maniitsoq,GL,65.4167,-52.9,19.76,84,91,13.91,overcast clouds
Komnina,GR,40.6,21.7833,43.27,82,100,6.31,overcast clouds
Puerto Cabezas,NI,14.0351,-83.3888,83.01,72,85,8.37,overcast clouds
Badhni Kalan,IN,30.6833,75.2833,63.37,28,0,4.9,clear sky
Mayo,US,38.8876,-76.5119,57.52,35,0,5.99,clear sky
Nanchang,CN,28.6833,115.8833,60.3,79,85,7.74,overcast clouds
Kalemie,CD,-5.9475,29.1947,68.47,91,100,3.98,overcast clouds
Laela,TZ,-8.5667,32.05,65.23,84,100,3.44,light rain
Samoded,RU,63.6083,40.5111,10.49,97,42,2.1,scattered clouds
Kenora,CA,49.8167,-94.4337,25.77,86,100,10.36,overcast clouds
Tadine,NC,-21.55,167.8833,75.9,86,20,8.12,few clouds
Prainha,BR,-1.8,-53.48,95.61,37,35,4.59,scattered clouds
Chatra,IN,24.2167,84.8667,58.24,57,0,4.63,clear sky
Pisco,PE,-13.7,-76.2167,68.05,77,75,9.22,broken clouds
Wewak,PG,-3.5534,143.6268,79.25,84,99,4.16,overcast clouds
Lompoc,US,34.6391,-120.4579,65.79,27,67,3.27,broken clouds
Hirado,JP,33.3597,129.5531,57.38,84,99,14.74,light rain
Chicama,PE,-7.8447,-79.1469,66.74,52,4,9.84,clear sky
Herat,AF,34.5,62.0,53.1,23,0,5.41,clear sky
Dawlatabad,AF,36.4141,64.9053,54.43,49,1,2.35,clear sky
Uray,RU,60.1247,64.7758,-7.35,97,15,3.89,few clouds
Haines Junction,CA,60.7522,-137.5108,23.22,97,100,1.81,overcast clouds
Sohag,EG,26.557,31.6948,72.81,29,19,10.25,few clouds
Deputatskiy,RU,69.3,139.9,-32.58,99,65,1.25,broken clouds
Severnyy,RU,50.677,36.5532,35.64,93,100,11.18,overcast clouds
Baruun-Urt,MN,46.6806,113.2792,11.01,81,49,6.67,scattered clouds
Nizwa,OM,22.9333,57.5333,74.46,45,43,2.98,scattered clouds
Roebourne,AU,-20.7833,117.1333,79.12,61,38,8.75,scattered clouds
Nazare,BR,-13.035,-39.0144,84.6,57,92,8.3,overcast clouds
Grindavik,IS,63.8424,-22.4338,39.67,70,20,18.41,few clouds
Wuda,CN,39.4994,106.7117,38.01,36,1,3.4,clear sky
Banjar,ID,-8.19,114.9675,77.22,87,100,3.0,overcast clouds
Acapulco,MX,16.8634,-99.8901,87.62,62,0,0.0,clear sky
Kotido,UG,2.9806,34.1331,79.45,40,81,12.91,broken clouds
Kayes,ML,14.0,-11.0,93.45,10,47,12.1,scattered clouds
Cayenne,GF,4.9333,-52.3333,82.44,74,75,14.97,broken clouds
Pontianak,ID,-0.0333,109.3333,75.18,100,100,1.14,overcast clouds
Stornoway,GB,58.2093,-6.3865,40.96,89,40,3.44,scattered clouds
Mirandopolis,BR,-21.1336,-51.1017,88.77,39,93,6.29,overcast clouds
Fort Nelson,CA,58.8053,-122.7002,23.95,93,66,1.99,broken clouds
Kuryk,KZ,43.2,51.65,57.34,60,97,15.01,overcast clouds
Requena,ES,39.4883,-1.1004,52.52,78,96,26.89,overcast clouds
Saravan,AM,39.7196,45.6483,45.63,40,100,1.97,overcast clouds
Wagar,SD,16.1525,36.2032,88.25,21,0,7.25,clear sky
Miraflores,MX,19.2167,-98.8083,66.96,52,18,2.64,few clouds
Hofn,IS,64.2539,-15.2082,36.64,73,91,17.31,overcast clouds
Mantua,IT,45.1667,10.7833,51.35,87,100,5.99,moderate rain
Banda Aceh,ID,5.5577,95.3222,78.71,82,100,9.01,overcast clouds
Talisay,PH,10.2447,123.8494,80.62,89,40,2.3,smoke
Dzilam Gonzalez,MX,21.2833,-88.9333,86.54,55,98,2.98,overcast clouds
Sawakin,SD,19.1059,37.3321,83.17,67,9,7.02,clear sky
Cravo Norte,CO,6.3017,-70.2041,88.36,53,84,11.36,broken clouds
Ajaccio,FR,42.0,8.9167,53.58,55,100,29.93,overcast clouds
Calama,CL,-22.4667,-68.9333,73.89,12,0,19.57,clear sky
Palatka,US,29.6486,-81.6376,66.25,69,100,8.05,overcast clouds
Kurayoshi,JP,35.4333,133.8167,55.33,87,100,3.87,light rain
Cockburn Town,TC,21.4612,-71.1419,81.75,78,9,21.21,clear sky
Abha,SA,18.2164,42.5053,57.45,72,40,6.91,scattered clouds
Harper,LR,4.375,-7.7169,82.71,70,66,8.16,broken clouds
San Luis,AR,-33.295,-66.3356,78.75,24,1,7.02,clear sky
Vestmanna,FO,62.1564,-7.1664,32.92,86,100,6.91,overcast clouds
Palauig,PH,15.435,119.9045,80.78,74,93,3.83,overcast clouds
Bar Harbor,US,44.3876,-68.2039,41.61,47,0,6.91,clear sky
Porto Novo,BJ,6.4965,2.6036,82.58,70,32,8.03,scattered clouds
Jaisalmer,IN,26.9147,70.9181,72.64,22,2,4.21,clear sky
Road Town,VG,18.4167,-64.6167,86.09,74,20,12.66,few clouds
Guadalupe Y Calvo,MX,26.1,-106.9667,58.68,42,7,7.67,clear sky
Wau,SS,7.7029,27.9953,87.57,28,62,4.07,broken clouds
Ponta Delgada,PT,37.7333,-25.6667,70.5,88,40,19.57,scattered clouds
Tarauaca,BR,-8.1614,-70.7656,80.96,84,100,4.09,heavy intensity rain
Klaebu,NO,63.2976,10.4826,29.35,68,84,10.47,broken clouds
Cap Malheureux,MU,-19.9842,57.6142,76.46,74,0,1.99,clear sky
Zhongshu,CN,24.5167,103.7667,52.84,97,14,3.4,few clouds
Hualmay,PE,-11.0964,-77.6139,70.47,73,90,7.74,overcast clouds
Arman,RU,59.7,150.1667,7.02,81,100,15.01,overcast clouds
Balykshi,KZ,47.0667,51.8667,49.48,76,95,9.24,overcast clouds
San Rafael,AR,-34.6177,-68.3301,84.15,18,0,7.38,clear sky
Tabora,TZ,-5.0167,32.8,65.23,92,100,3.4,overcast clouds
Pychas,RU,56.5033,52.4409,14.07,83,82,3.69,broken clouds
Bathsheba,BB,13.2167,-59.5167,86.61,70,40,20.71,scattered clouds
Rairangpur,IN,22.2676,86.1751,63.93,49,18,2.15,few clouds
Cabedelo,BR,-6.9811,-34.8339,79.47,66,95,11.61,overcast clouds
Cagbang,PH,10.7,122.4989,76.91,89,21,8.43,few clouds
Marsa Matruh,EG,31.3525,27.2453,67.44,60,3,5.21,clear sky
Hanford,US,36.3275,-119.6457,49.41,75,0,0.0,haze
Hit,IQ,33.6416,42.8251,69.17,34,100,9.26,overcast clouds
Sibu,MY,2.3,111.8167,73.56,97,86,0.76,overcast clouds
Izmalkovo,RU,52.6887,37.964,34.48,100,100,2.59,light snow
Waspan,NI,14.7419,-83.9717,81.34,80,77,5.57,broken clouds
Izumo,JP,35.3667,132.7667,56.01,86,100,5.7,overcast clouds
Muisne,EC,0.6,-80.0333,76.15,74,96,10.78,overcast clouds
Ponerihouen,NC,-21.0833,165.4,76.55,86,27,2.75,scattered clouds
Yumen,CN,40.2833,97.2,38.08,39,86,19.08,overcast clouds
Iwanai,JP,42.9744,140.5089,36.3,70,82,5.64,broken clouds
Chapais,CA,49.7834,-74.8492,17.38,83,100,12.71,overcast clouds
Ballina,AU,-28.8667,153.5667,58.93,75,84,5.77,broken clouds
Neiafu,TO,-18.65,-173.9833,75.88,94,40,5.75,scattered clouds
Saquarema,BR,-22.92,-42.5103,82.44,73,74,19.57,broken clouds
Tevaitoa,PF,-16.7833,-151.5,78.46,80,12,6.49,light rain
Poya,NC,-21.35,165.15,75.22,93,15,2.95,few clouds
Ormara,PK,25.2088,64.6357,80.02,32,2,14.54,clear sky
Basoko,CD,1.2391,23.616,72.5,93,92,3.44,overcast clouds
Thunder Bay,CA,48.4001,-89.3168,28.47,87,100,7.02,light snow
Miyazu,JP,35.5333,135.1833,53.69,86,100,1.28,overcast clouds
Tarakan,ID,3.3,117.6333,80.89,77,99,4.09,overcast clouds
Viline,UA,44.8456,33.6716,46.08,72,100,11.97,overcast clouds
Severo-Yeniseyskiy,RU,60.3725,93.0408,-1.79,97,100,5.48,light snow
Camrose,CA,53.0168,-112.8353,22.95,86,97,4.61,overcast clouds
Canguaretama,BR,-6.38,-35.1289,85.37,53,92,14.36,overcast clouds
Soyo,AO,-6.1349,12.3689,79.14,77,21,7.74,few clouds
Sechenovo,RU,55.2244,45.8906,25.99,95,100,12.95,overcast clouds
Inhambane,MZ,-23.865,35.3833,76.98,57,20,11.5,few clouds
Yerbogachen,RU,61.2767,108.0108,-24.81,100,100,2.19,overcast clouds
Vizinga,RU,61.0749,50.1031,13.53,98,88,1.86,overcast clouds
Sisimiut,GL,66.9395,-53.6735,20.53,89,100,6.96,light snow
Key Largo,US,25.0865,-80.4473,86.0,84,90,8.46,overcast clouds
Wattegama,LK,6.7989,81.4808,73.62,94,32,2.75,scattered clouds
Pyay,MM,18.8167,95.2167,72.81,69,1,5.26,clear sky
Bilma,NE,18.6853,12.9164,75.79,12,39,5.95,scattered clouds
Kachug,RU,53.9606,105.8817,0.36,92,34,1.99,scattered clouds
Bath,GB,51.3779,-2.3591,50.38,92,12,5.64,few clouds
Kosh,AM,40.3,44.1558,43.05,40,100,1.77,overcast clouds
Pasca,CO,4.3072,-74.3006,69.87,86,75,4.72,broken clouds
Jeremie,HT,18.65,-74.1167,84.79,67,31,6.58,scattered clouds
Tessalit,ML,20.1986,1.0114,81.75,12,100,8.57,overcast clouds
Novikovo,RU,51.1537,37.8879,40.37,99,100,6.93,overcast clouds
Elliot,ZA,-31.3333,27.85,56.91,81,85,1.72,overcast clouds
Emerald,AU,-23.5333,148.1667,70.34,39,38,10.54,scattered clouds
Vestmannaeyjar,IS,63.4427,-20.2734,41.99,75,40,19.57,scattered clouds
Trincomalee,LK,8.5711,81.2335,78.15,84,61,7.34,broken clouds
Arecibo,PR,18.4724,-66.7157,87.26,73,1,5.01,clear sky
Pauini,BR,-7.7136,-66.9764,72.86,98,100,3.09,overcast clouds
Saint-Denis,FR,48.9167,2.3333,51.96,71,100,18.41,overcast clouds
Baykit,RU,61.67,96.37,-7.82,98,100,4.43,overcast clouds
Awbari,LY,26.5921,12.7805,60.71,25,0,4.63,clear sky
Smithers,CA,54.7804,-127.1743,34.77,96,96,1.25,overcast clouds
Lavumisa,SZ,-27.31,31.892,74.55,70,29,7.27,scattered clouds
Pitimbu,BR,-7.4706,-34.8086,79.39,72,79,10.38,broken clouds
Avera,US,33.194,-82.5271,60.39,41,94,6.06,overcast clouds
Verkhoyansk,RU,67.5447,133.385,-38.74,100,88,0.58,overcast clouds
Ekhabi,RU,53.5102,142.9671,22.51,88,100,16.06,light snow
Zhanaozen,KZ,43.3,52.8,53.56,63,100,15.08,overcast clouds
Chaman,PK,30.9236,66.4512,52.03,34,3,1.28,clear sky
Linares,CL,-35.85,-71.6,89.04,16,69,8.46,broken clouds
Nago,JP,26.5881,127.9761,74.25,86,100,10.96,light rain
Ondjiva,AO,-17.0667,15.7333,86.2,26,88,3.98,overcast clouds
Surt,LY,31.2089,16.5887,67.78,32,0,12.77,clear sky
Darhan,MN,49.4867,105.9228,15.71,75,9,5.61,clear sky
Borovoy,RU,55.4333,86.0833,16.88,79,100,17.9,light shower snow
Platteville,US,42.7342,-90.4785,40.51,60,0,6.91,clear sky
Vitim,RU,59.4511,112.5578,-6.99,98,100,5.59,overcast clouds
Danilov,RU,58.1908,40.1717,24.01,94,100,10.2,light snow
Espanola,US,35.9911,-106.0806,47.61,24,44,4.99,scattered clouds
Upington,ZA,-28.4478,21.2561,83.64,23,0,7.54,clear sky
Asau,RO,46.4333,26.4,36.52,90,45,2.59,scattered clouds
Chernyshevskiy,RU,63.0128,112.4714,-27.96,100,67,2.68,broken clouds
Alcantara,BR,-2.4089,-44.4147,91.6,61,21,10.22,few clouds
Aleksandrov Gay,RU,50.147,48.5704,40.71,96,100,10.51,overcast clouds
Port Hardy,CA,50.6996,-127.4199,43.95,93,100,11.5,overcast clouds
Tashtyp,RU,52.7939,89.8983,26.38,93,100,7.7,light snow
Akdepe,TM,42.0551,59.3788,54.66,55,100,9.15,overcast clouds
Tezu,IN,27.9167,96.1667,62.58,47,0,4.23,clear sky
La Ronge,CA,55.1001,-105.2842,23.22,93,75,4.61,mist
Lae,PG,-6.7221,146.9847,76.82,82,14,2.71,few clouds
Lokoja,NG,7.8024,6.743,87.8,36,3,4.56,clear sky
Lumberton,US,34.6182,-79.0086,62.82,29,20,4.61,few clouds
Don Sak,TH,9.3168,99.6918,78.06,86,100,4.47,light rain
Honningsvag,NO,70.9821,25.9704,31.75,86,100,4.61,overcast clouds
Eirunepe,BR,-6.6603,-69.8736,80.31,80,96,5.53,overcast clouds
Bairiki,KI,1.3292,172.9752,80.6,83,20,9.22,few clouds
Bubaque,GW,11.2833,-15.8333,85.05,52,42,8.68,scattered clouds
Marzuq,YE,14.4,46.4667,66.97,45,1,3.36,clear sky
Bodden Town,KY,19.2833,-81.25,87.8,70,20,11.5,few clouds
Kodinsk,RU,58.6881,99.1844,2.82,96,100,4.65,light snow
Olafsvik,IS,64.8945,-23.7142,41.68,60,52,7.31,broken clouds
Tema,GH,5.667,-0.0166,84.51,63,37,8.81,scattered clouds
Siyabuswa,ZA,-25.1132,29.0445,83.21,30,89,9.48,overcast clouds
Albanel,CA,48.8832,-72.4487,22.24,64,99,10.31,overcast clouds
Jalu,LY,29.0331,21.5482,64.94,49,0,3.44,clear sky
Akcaabat,TR,41.0212,39.5715,64.27,55,75,10.36,broken clouds
Toora-Khem,RU,52.4675,96.11,0.68,98,99,1.07,overcast clouds
Kalabo,ZM,-14.97,22.6814,81.14,42,67,4.03,broken clouds
Masindi,UG,1.6744,31.715,67.33,91,89,2.21,light rain
Alpena,US,45.0617,-83.4327,38.17,63,75,11.5,broken clouds
Ukiah,US,39.1502,-123.2078,61.05,77,0,0.0,clear sky
Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,76.24,90,100,1.95,overcast clouds
Sabang,ID,5.8933,95.3214,81.9,73,100,14.54,overcast clouds
Pallasovka,RU,50.05,46.8833,43.5,96,100,12.77,light rain
Popondetta,PG,-8.7537,148.2534,73.85,93,7,2.48,light rain
Tomohon,ID,1.3346,124.8392,68.94,90,88,1.03,overcast clouds
Vangaindrano,MG,-23.35,47.6,72.46,73,39,4.32,scattered clouds
Puri,IN,19.8,85.85,75.72,65,34,5.26,scattered clouds
Alexandria,EG,31.2156,29.9553,69.33,59,1,7.38,clear sky
Touros,BR,-5.1989,-35.4608,84.09,53,74,15.23,broken clouds
Jasper,US,37.2001,-94.3502,54.45,60,0,12.66,clear sky
Kushima,JP,31.4583,131.2333,61.2,96,100,6.46,moderate rain
Bambanglipuro,ID,-7.95,110.2833,77.07,87,100,3.98,overcast clouds
Erenhot,CN,43.6475,111.9767,32.43,47,69,5.79,broken clouds
Ambulu,ID,-8.345,113.6058,76.86,90,100,2.68,overcast clouds
Nyahururu,KE,0.0421,36.3673,55.47,90,99,7.65,overcast clouds
Vanimo,PG,-2.6741,141.3028,78.51,87,90,4.05,light rain
Asyut,EG,27.181,31.1837,70.99,38,16,10.67,few clouds
Camopi,GF,3.1655,-52.3158,90.68,46,74,1.77,broken clouds
Raudeberg,NO,61.9875,5.1352,36.86,47,13,14.14,few clouds
Amahai,ID,-3.3333,128.9167,79.79,84,100,2.37,overcast clouds
Kota Bahru,MY,6.1333,102.2386,76.01,90,39,4.81,scattered clouds
Wanaka,NZ,-44.7,169.15,47.1,85,33,3.0,scattered clouds
Umm Lajj,SA,25.0213,37.2685,80.01,71,69,2.98,broken clouds
Praia Da Vitoria,PT,38.7333,-27.0667,63.75,94,100,17.47,moderate rain
Timmins,CA,48.4669,-81.3331,22.82,86,100,8.05,overcast clouds
Machico,PT,32.7,-16.7667,73.71,78,20,4.61,few clouds
Vanderhoof,CA,54.0166,-124.0198,29.98,97,100,1.86,overcast clouds
Shaoyang,CN,27.2315,111.4525,57.94,82,100,2.68,overcast clouds
Manyana,BW,-23.4,21.7167,85.62,27,97,1.95,overcast clouds
Lata,PT,40.1629,-8.3327,62.08,94,100,12.26,overcast clouds
Vila Franca Do Campo,PT,37.7167,-25.4333,70.2,86,98,17.65,overcast clouds
Yaan,NG,7.3833,8.5667,85.39,25,4,4.07,clear sky
Putyatino,RU,54.16,41.1169,35.02,100,100,10.25,snow
Port Hawkesbury,CA,45.6169,-61.3485,35.58,72,100,25.01,light rain
Bull Savanna,JM,17.8868,-77.5902,82.22,65,100,6.4,overcast clouds
Sioux Lookout,CA,50.1001,-91.917,25.5,88,100,7.29,overcast clouds
Nadym,RU,65.5333,72.5167,-20.81,98,33,7.58,scattered clouds
